Porto São Bento;0;0
Porto Campanhã;240;300
Contumil;480;510
Rio Tinto;630;660
Águas Santas;780;810
Ermesinde;960;1020
Cabeda;1170;1200
Suzão;1380;1410
Valongo;1530;1560
S. Martinho do Campo;1710;1740
Terronhas;1920;1950
Trancoso;2070;2100
Recarei-Sobreira;2220;2250
Parada;2400;2430
Cête;2550;25800
Irivo;2700;2730
Oleiros;2820;2850
Paredes;2970;3000
Penafiel;3150;3180
Bustelo;3330;3360
Meinedo;3510;3540
Caíde;3780;3780
