-2,618	-1,9945	-11	30
-1,9945	0	0	60
0	0,384	0	50
0,384	0,967	7	45
0,967	2,0135	14	70
2,0135	2,443	0	84
2,443	4,74928	5	120
4,74928	6,537	10	120
6,537	7,6665	5	120
7,6665	7,73	-15	60
7,73	8,42885	-10	60
8,42885	9,1175	-5	60
9,1175	9,5615	3	80
9,5615	10,4552	15	90
10,4552	10,637	16	90
10,637	14,3598	8	110
14,3598	15,9657	-10	110
15,9657	18,6225	-8	110
18,6225	21,715	15	110
21,715	23,39	-15	110
23,39	25,3321	-5	110
25,3321	27,582	0	110
27,582	28,37	6	100
28,37	30,17	5	100
30,17	31,941	0	100
31,941	33,054	0	100
33,054	34,937	5	100
34,937	38,753	5	100
38,753	40,83	15	100
40,83	40,994	10	63
40,994	42,2515	13	90
42,2515	43,0528	13	100
43,0528	44,1175	15	100
44,1175	45,0885	14	90
45,0885	46,0772	10	30
