1	Porto São Bento	-2,618
2	Porto Campanhã	0,0
3	Contumil	2,443
4	Rio Tinto	4,74928
5	Águas Santas	6,537
6	Ermesinde	8,42885
7	Cabeda	10,4552
8	Suzão	14,3598
9	Valongo	15,9657
10	S. Martinho do Campo	18,6225
11	Terronhas	21,715
12	Trancoso	23,39
13	Recarei-Sobreira	25,3321
14	Parada	28,37
15	Cête	30,17
16	Irivo	31,941
17	Oleiros	33,054
18	Paredes	34,937
19	Penafiel	38,753
20	Bustelo	40,994
21	Meinedo	43,0528
22	Caíde	46,0772

