-2,699	-1,9945	-11	30
-1,9945	-0,05	-5	60
-0,05	0,384	0	50
0,384	0,967	7	45
0,967	2,6	10	70
2,6	4,8	-5	120
4,8	6,44	13	120
6,44	7,6665	10	120
7,6665	8,525	-10	60
8,525	9,1175	-5	60
9,1175	9,5615	5	80
9,5615	10,5	16	90
10,5	10,637	16	90
10,637	13,1	16	110
13,1	14,4	-10	110
14,4	16,1	-8	110
16,1	18,6	-5	110
18,6	21,7	10	110
21,7	23,5	-14	110
23,5	24,41134	-10	110
24,41134	25,4	5	110
25,4	27,582	0	110
27,582	28,2	4	100
28,2	30,22	3	100
30,22	31,29649	-8	100
31,29649	31,83	15	100
31,83	33,074	0	100
33,074	35	10	100
35	36,47084	10	100
36,47084	38,13	0	100
38,13	40,27085	8	100
40,27085	40,9	15	90
40,9	42,2515	13	90
42,2515	43,2	14	100
43,2	44,1175	15	100
44,1175	45,0885	14	90
45,0885	46,079	5	30
