20131205-063749	15504	990244	181089	1758006	2147483647	1420485	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17247	40	257	257	NORM	PA_E	5	0
20131205-063753	15504	990244	181089	1758006	2147483647	1420485	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17265	39	257	257	NORM	PA_E	5	0
20131205-063757	15504	990244	181089	1758006	2147483647	1420485	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17245	39	257	257	NORM	PA_E	5	0
20131205-063801	15504	990244	181089	1758006	2147483647	1420485	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17251	39	266	266	NORM	PA_E	5	0
20131205-063805	15504	990244	181089	1758006	2147483647	1420485	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17234	43	284	284	NORM	PA_E	5	0
20131205-063808	15504	990244	181089	1758006	2147483647	1420485	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17239	42	284	284	NORM	PA_E	5	0
20131205-063812	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17195	43	275	275	NORM	PA_E	5	0
20131205-063816	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17185	42	284	275	NORM	PA_E	5	0
20131205-063819	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	188	2855	0	0	521	535	17188	175	1262	1262	NORM	PA_E	5	0
20131205-063823	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	577	9578	0	0	1244	1245	17228	605	3999	3999	NORM	PA_E	5	0
20131205-063827	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	3	0	0	0	4	17230	91	471	471	NORM	PA_E	5	0
20131205-063831	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17230	44	284	284	NORM	PA_E	5	0
20131205-063834	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17258	44	284	284	NORM	PA_E	5	0
20131205-063838	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17232	37	239	248	NORM	PA_E	5	0
20131205-063842	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	785	11821	0	0	1582	1585	17234	711	4808	4808	NORM	PA_E	5	0
20131205-063846	15504	990244	181089	1758006	2147483647	1420486	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	557	4793	0	0	614	243	17207	530	3190	2142	NORM	PA_E	5	0
20131205-063849	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17247	41	266	266	NORM	PA_E	5	0
20131205-063853	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17277	39	257	266	NORM	PA_E	5	0
20131205-063857	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17284	40	266	266	NORM	PA_E	5	0
20131205-063900	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17253	37	239	239	NORM	PA_E	5	0
20131205-063904	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	0	0	0	0	0	0	17219	40	266	266	NORM	PA_E	5	0
20131205-063908	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	64751	0	4433	0	63933	63944	17280	504	3341	3341	NORM	PA_E	5	0
20131205-063912	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	64934	0	3405	0	64236	64237	17259	404	2648	2648	NORM	PA_E	5	0
20131205-063915	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	64046	0	8545	0	62504	62493	17271	867	5786	5786	NORM	PA_E	5	0
20131205-063919	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	63932	0	9059	963	63545	63269	17278	658	4248	4248	NORM	PA_E	5	0
20131205-063923	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	62691	0	16062	6425	61984	62304	17283	780	5137	5137	NORM	PA_E	5	0
20131205-063927	15504	990244	181089	1758006	2147483647	1420487	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	63010	0	13492	3212	61792	61727	17286	656	4301	4301	NORM	PA_E	5	0
20131205-063930	15504	990244	181089	1758006	2147483647	1420488	19304	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	126	0	63624	0	10794	0	61670	61671	17296	515	3350	3350	NORM	PA_E	5	0
20131205-063934	15504	990244	181089	1758006	2147483647	1420488	19304	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	126	0	64228	0	7324	0	62883	62885	17243	264	1706	1706	NORM	PA_E	5	0
20131205-063938	15504	990244	181089	1758006	2147483647	1420488	19304	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	126	0	64114	0	8416	0	62479	62491	17274	226	1466	1466	NORM	PA_E	5	0
20131205-063941	15504	990244	181089	1758015	2147483647	1420488	19304	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	126	0	63375	0	12207	1285	61621	61613	17274	185	1191	1191	NORM	PA_E	5	0
20131205-063945	15504	990244	4503407	1758015	2745392	1420488	19304	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	126	0	63716	0	8802	7774	0	65533	17258	36	239	239	NORM	PA_E	5	0
