20110810-164219	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164223	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164226	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164230	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164234	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164237	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164241	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164244	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9573	0	0	NORM	N_D	0	0
20110810-164248	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164252	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164255	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164259	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164303	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164306	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164310	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164314	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9573	9637	0	0	NORM	N_D	0	0
20110810-164317	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63954	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164321	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
20110810-164325	15525	951137	8473192	3223198	5249994	1058531	5817	0	1	0	0	0	0	0	1	0	1	1	1	1	0	0	0	117	17585	63944	0	9637	9637	0	0	NORM	N_D	0	0
