20110810-141347	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	132	14201	63932	0	8609	8609	0	0	NORM	CH_E	10	0
20110810-141350	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	132	14201	63932	0	8673	8673	0	0	NORM	CH_E	10	0
20110810-141354	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	132	14201	63932	0	8738	8673	0	0	NORM	CH_E	10	0
20110810-141357	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	132	14201	63920	0	8673	8673	0	0	NORM	CH_E	10	0
20110810-141401	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	132	14201	63932	0	8673	8673	0	0	NORM	CH_E	10	0
20110810-141405	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	1	0	0	132	14201	63932	0	8673	8673	0	0	NORM	CH_E	10	0
20110810-141408	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	132	14201	63932	0	8738	8609	0	0	NORM	CH_E	10	0
20110810-141412	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	132	14201	63920	0	8673	8673	0	0	NORM	CH_E	10	0
20110810-141416	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	132	14201	63932	0	8673	8673	0	0	NORM	CH_E	10	0
20110810-141419	15524	951276	8472613	3223027	5249586	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	132	14201	63944	0	8609	8673	0	0	NORM	CH_E	10	0
20110810-141423	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	1	1	0	0	0	132	14201	63944	0	8609	8609	1156	2187	NORM	CH_E	10	0
20110810-141427	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	340	132	14201	1997	9081	0	0	4000	3998	NORM	PA_I	10	0
20110810-141430	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	900	132	14202	2170	9862	0	0	4334	4340	NORM	PA_E	10	0
20110810-141434	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	1549	132	14203	2176	9885	0	0	4364	4331	NORM	PA_E	10	0
20110810-141438	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	2153	132	14204	1954	10718	0	0	3331	3303	NORM	PA_E	10	0
20110810-141441	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	1	1	1	1	0	1	0	0	2546	132	14206	1063	6832	0	0	2093	2101	NORM	PA_E	10	0
20110810-141445	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	2810	132	14208	966	6495	0	0	1763	1760	NORM	PA_E	10	0
20110810-141449	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	3021	132	14211	828	6254	0	0	1638	1643	NORM	PA_E	10	0
20110810-141452	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	3146	132	14213	709	5614	0	0	1424	1400	NORM	PA_E	10	0
20110810-141456	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	3219	132	14216	692	5549	0	0	1381	1377	NORM	PA_E	10	0
20110810-141500	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	3284	132	14218	684	5578	0	0	1170	975	NORM	PA_E	10	0
20110810-141503	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	3303	132	14221	484	3989	0	0	957	961	NORM	PA_E	10	0
20110810-141507	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	3312	132	14224	485	3948	0	0	967	970	NORM	PA_E	10	0
20110810-141511	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	3294	132	14226	69	565	0	0	150	136	NORM	PA_E	10	0
20110810-141514	15524	951276	8472614	3223027	5249587	1058464	5815	0	1	0	0	0	0	0	0	1	1	1	0	1	0	0	3181	132	14229	69	1653	0	0	462	452	NORM	PA_E	10	0
