20120801-164324	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164326	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164329	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164331	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164334	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164337	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164339	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164342	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164344	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164347	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164349	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164352	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164355	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164357	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164400	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164402	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164405	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164407	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164410	27074	990244	9385095	3575791	5809304	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164413	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164415	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164418	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164420	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164423	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164426	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164428	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164431	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164433	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164436	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164438	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164441	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164444	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164446	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164449	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164451	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164454	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164456	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164459	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164502	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164504	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164507	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
20120801-164509	27074	990244	9385096	3575791	5809305	1167584	9558	0	0	0	0	0	0	0	0	0	1	2	1	1	0	0	0	117	NORM	N_D	0	0
