20131203-133010	15532	951137	4496411	1755468	2740943	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63965	0	9509	9509	0	0	17280	49	319	319	NORM	ACT	1	0
20131203-133014	15532	951137	4496411	1755468	2740943	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9509	9509	0	0	17273	49	319	319	NORM	ACT	1	0
20131203-133018	15532	951137	4496411	1755468	2740943	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63965	0	9444	9444	0	0	17272	49	319	319	NORM	ACT	1	0
20131203-133021	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63965	0	9380	9444	0	0	17279	48	319	319	NORM	ACT	1	0
20131203-133025	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17261	41	266	266	NORM	ACT	1	0
20131203-133029	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17260	40	266	266	NORM	ACT	1	0
20131203-133032	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63986	0	9380	9380	0	0	17265	40	257	257	NORM	ACT	1	0
20131203-133036	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63986	0	9380	9444	0	0	17260	41	266	266	NORM	ACT	1	0
20131203-133040	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63986	0	9444	9444	0	0	17264	40	257	266	NORM	ACT	1	0
20131203-133044	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9444	9444	0	0	17262	38	248	248	NORM	ACT	1	0
20131203-133047	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63975	0	9380	9380	0	0	17273	38	248	248	NORM	ACT	1	0
20131203-133051	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63986	0	9380	9380	0	0	17268	37	248	248	NORM	ACT	1	0
20131203-133055	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63986	0	9380	9380	0	0	17263	30	195	195	NORM	ACT	1	0
20131203-133058	15532	951137	4496413	1755468	2740945	1419515	19272	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	117	0	63986	0	9444	9380	0	0	17290	27	177	177	NORM	ACT	1	0
